スポット名,書籍名,人物,施設名,所在地,緯度,経度
越前岬,ニッポンの食遺産,塩田丸男,,,35.981978,135.957996
越前町自然文学資料館,,宮本輝、開高健、水上勉等,文学碑（宮本輝、開高健、水上勉等）,越前町血ヶ平25-2 越前岬水仙ランド内,35.982644,135.960348
越前町梅浦,北陸の味覚王者の奢り（開口一番）,開高健,,,35.953978,135.982055
干飯崎,火の笛,水上勉,,越前町,35.887643,135.993738
越前町織田,炎の舞い,津村節子,,,35.96092,136.05611
越前町織田,土と炎の里,津村節子,,,35.96092,136.05611
近松門左衛門記念碑,,近松門左衛門,近松門左衛門記念碑,鯖江市立待公民館前庭　鯖江市杉本町702-2,35.983189,136.173859
鯖江市石田,遅咲きの梅,津村節子,『遅咲きの梅』津村節子,,35.9813725,136.156656
まなべの館,,,まなべの館,鯖江市長泉寺町1-9-20,35.953496,136.184288
西山公園,どんじり,久里洋二,,鯖江市桜町,35.951823,136.182602
西山公園,横浜赤い靴殺人事件,石川真介,,,35.951823,136.182602
西山公園,,皆吉爽雨,皆吉爽雨句碑,,35.951823,136.182602
伊藤柏翠俳句記念館,,伊藤柏翠,伊藤柏翠俳句記念館,鯖江市東鯖江3-5-3,35.946414,136.198672
大伴家持歌碑,,大伴家持,大伴家持歌碑,越前市丹生郷町大虫小学校北の小公園,35.909293,136.141536
越前市街,名画は踊る：越前殺人事件,石川真介,,,35.9035,136.16875
越前市街,１０１個目のレモン,俵万智,,,35.9035,136.16875
ちひろの生まれた家記念館,,,ちひろの生まれた家記念館,越前市天王町4-14,35.899902,136.166937
かこさとしふるさと絵本館石石（らく）,,,かこさとしふるさと絵本館石石（らく）,越前市高瀬1-14-7,35.895869,136.156974
紫式部公園,,紫式部,紫式部歌碑,越前市東千福町20,35.889991,136.159983
紫式部公園,,与謝野晶子,与謝野晶子歌碑,,35.889991,136.159983
紫式部公園,散華,杉本苑子,,,35.889991,136.159983
五箇,弥陀の舞,水上勉,,越前市五箇,35.910242,136.246112
五箇,失われゆくものの記,水上勉,,,35.910242,136.246112
